NAME,Year,Income,Population,elevation,risk_score,risk_level,Recommendation,Score,Median Elevation
Alachua,2030,50475.47728,316236.6658,32.8984,60,Medium Risk,Avoid low elevation areas to live.,65,17.8984
Baker,2030,57178.77857,32091.77334,39.8984,25,Low Risk,No action recommended at this time.,9,17.8984
Bay,2030,59267.17471,198980.5781,12.8984,45,Medium Risk,Avoid low elevation areas to live.,55,17.8984
Bradford,2030,52133.39858,32141.74107,44.8984,30,Low Risk,No action recommended at this time.,32,17.8984
Brevard,2030,57586.81195,688886.8965,8.8984,70,High Risk,Avoid at all costs. Move if necessary. Sea level rise will significantly impact all areas of life.,42,17.8984
Broward,2030,61850.68487,2208090.937,4.8984,75,High Risk,Avoid at all costs. Move if necessary. Sea level rise will significantly impact all areas of life.,44,17.8984
Calhoun,2030,39598.49942,15499.08074,30.8984,35,Low Risk,No action recommended at this time.,33,17.8984
Charlotte,2030,54846.05205,212189.0928,9.8984,55,Medium Risk,Be careful around rivers and swamp areas due to potential flooding.,19,17.8984
Citrus,2030,46330.86227,174708.7542,13.8984,55,Medium Risk,Be careful around rivers and swamp areas due to potential flooding.,26,17.8984
Clay,2030,71428.55861,247845.6093,28.8984,45,Medium Risk,Be careful around rivers and swamp areas due to potential flooding.,18,17.8984
Collier,2030,77184.57827,426715.3125,4.8984,60,High Risk,"Move to higher ground, avoid low areas and swamp areas.",27,17.8984
Columbia,2030,46218.58542,79151.15249,35.8984,35,Low Risk,"Dialogue with county officials, risk is low at this time.",61,17.8984
DeSoto,2030,41755.09834,38584.17109,17.8984,50,Medium Risk,Be careful around rivers and swamp areas due to potential flooding.,4,17.8984
Dixie,2030,38660.5666,19032.02624,6.8984,50,Medium Risk,Be careful around rivers and swamp areas due to potential flooding.,28,17.8984
Duval,2030,59297.7058,1130595.934,10.8984,70,High Risk,Avoid at all costs. Move if necessary. Sea level rise will significantly impact all areas of life.,53,17.8984
Escambia,2030,51980.67652,365565.034,29.8984,55,Medium Risk,Avoid low elevation areas to live.,64,17.8984
Flagler,2030,60074.19278,131026.7392,5.8984,55,Medium Risk,Be careful around rivers and swamp areas due to potential flooding.,8,17.8984
Franklin,2030,47030.26421,14139.73141,3.8984,45,Medium Risk,Be careful around rivers and swamp areas due to potential flooding.,7,17.8984
Gadsden,2030,46363.38532,49770.1284,49.8984,35,Low Risk,"Dialogue with county officials, risk is low at this time.",51,17.8984
Gilchrist,2030,45106.08881,20286.89759,18.8984,40,Low Risk,"Dialogue with county officials, risk is low at this time.",40,17.8984
Glades,2030,47315.08984,13770.6516,11.8984,40,Medium Risk,Be careful around rivers and swamp areas due to potential flooding.,1,17.8984
Gulf,2030,49809.70723,16116.86356,4.8984,45,Medium Risk,Be careful around rivers and swamp areas due to potential flooding.,12,17.8984
Hamilton,2030,45715.36241,15903.36508,36.8984,25,Low Risk,"Dialogue with county officials, risk is low at this time.",38,17.8984
Hardee,2030,43267.10549,28762.10564,7.8984,55,Medium Risk,Be careful around rivers and swamp areas due to potential flooding.,5,17.8984
Hendry,2030,40351.52909,44992.53222,7.8984,55,Medium Risk,Be careful around rivers and swamp areas due to potential flooding.,2,17.8984
Hernando,2030,51110.84906,220897.105,17.8984,60,Medium Risk,Be careful around rivers and swamp areas due to potential flooding.,20,17.8984
Highlands,2030,40676.28995,114965.5216,21.8984,60,Medium Risk,Be careful around rivers and swamp areas due to potential flooding.,30,17.8984
Hillsborough,2030,64031.62779,1657749.787,19.8984,60,Medium Risk,Avoid low elevation areas to live.,59,17.8984
Holmes,2030,40401.40898,22318.53998,38.8984,30,Low Risk,"Dialogue with county officials, risk is low at this time.",50,17.8984
IndianRiver,2030,63622.34531,181460.0757,7.8984,45,Medium Risk,Be careful around rivers and swamp areas due to potential flooding.,16,17.8984
Jackson,2030,47650.74304,53736.88462,43.8984,35,Low Risk,"Dialogue with county officials, risk is low at this time.",67,17.8984
Jefferson,2030,53461.80745,16477.99395,22.8984,25,Low Risk,"Dialogue with county officials, risk is low at this time.",37,17.8984
Lafayette,2030,56063.5775,9341.693885,21.8984,25,Low Risk,No action recommended at this time.,21,17.8984
Lake,2030,54848.69803,436032.0225,55.8984,50,Low Risk,"Dialogue with county officials, risk is low at this time.",49,17.8984
Lee,2030,61929.90764,864012.427,4.8984,75,High Risk,Avoid at all costs. Move if necessary. Sea level rise will significantly impact all areas of life.,46,17.8984
Leon,2030,55035.90539,331828.8682,37.8984,50,Low Risk,"Dialogue with county officials, risk is low at this time.",56,17.8984
Levy,2030,43563.20359,48735.5693,10.8984,55,Medium Risk,Avoid low elevation areas to live.,45,17.8984
Liberty,2030,48454.33127,9055.515078,26.8984,30,Low Risk,No action recommended at this time.,11,17.8984
Madison,2030,46429.08374,20405.00313,32.8984,30,Low Risk,"Dialogue with county officials, risk is low at this time.",48,17.8984
Manatee,2030,58856.48634,453922.7404,12.8984,55,Medium Risk,Be careful around rivers and swamp areas due to potential flooding.,31,17.8984
Marion,2030,48980.52049,426892.4708,23.8984,60,Medium Risk,Avoid low elevation areas to live.,57,17.8984
Martin,2030,70956.31194,179919.0255,5.8984,50,Medium Risk,Be careful around rivers and swamp areas due to potential flooding.,10,17.8984
Miami-Dade,2030,53102.16266,3068208.152,2.8984,80,High Risk,Avoid at all costs. Move if necessary. Sea level rise will significantly impact all areas of life.,39,17.8984
